fips,county,state,pop2014,pct_bachelors
0,United States,NA,318857056,28.8
1000,Alabama,NA,4849377,22.6
1001,Autauga County,AL,55395,20.9
1003,Baldwin County,AL,200111,27.7
1005,Barbour County,AL,26887,13.4
1007,Bibb County,AL,22506,12.1
1009,Blount County,AL,57719,12.1
1011,Bullock County,AL,10764,12.5
1013,Butler County,AL,20296,14
1015,Calhoun County,AL,115916,16.1
1017,Chambers County,AL,34076,11.8
1019,Cherokee County,AL,26037,12.8
1021,Chilton County,AL,43931,12.9
1023,Choctaw County,AL,13323,11.8
1025,Clarke County,AL,24945,11.2
1027,Clay County,AL,13552,9.2
1029,Cleburne County,AL,15080,9
1031,Coffee County,AL,50909,22.5
1033,Colbert County,AL,54543,17.7
1035,Conecuh County,AL,12670,8.8
1037,Coosa County,AL,10886,9.8
1039,Covington County,AL,37914,14.2
1041,Crenshaw County,AL,13977,12.7
1043,Cullman County,AL,81289,14.8
1045,Dale County,AL,49484,17
1047,Dallas County,AL,41711,14.2
1049,DeKalb County,AL,71065,10.7
1051,Elmore County,AL,80977,21
1053,Escambia County,AL,37733,11.7
1055,Etowah County,AL,103531,14.8
1057,Fayette County,AL,16874,13.2
1059,Franklin County,AL,31601,11
1061,Geneva County,AL,26712,10.4
1063,Greene County,AL,8553,12.8
1065,Hale County,AL,15184,12.8
1067,Henry County,AL,17190,16.6
1069,Houston County,AL,104193,19.7
1071,Jackson County,AL,52665,13
1073,Jefferson County,AL,660793,30
1075,Lamar County,AL,14086,9.5
1077,Lauderdale County,AL,93096,21.1
1079,Lawrence County,AL,33477,11.9
1081,Lee County,AL,154255,32.5
1083,Limestone County,AL,90787,22.7
1085,Lowndes County,AL,10580,14.4
1087,Macon County,AL,19425,19.6
1089,Madison County,AL,350299,38.5
1091,Marengo County,AL,20110,17.4
1093,Marion County,AL,30271,9.5
1095,Marshall County,AL,94636,15.2
1097,Mobile County,AL,415123,20.7
1099,Monroe County,AL,21947,10.6
1101,Montgomery County,AL,226189,31.5
1103,Morgan County,AL,119607,19.9
1105,Perry County,AL,9826,10.4
1107,Pickens County,AL,20365,11
