fips,votes_clinton,votes_trump,total_votes
1001,5908,18110,24661
1003,18409,72780,94090
1005,4848,5431,10390
1007,1874,6733,8748
1009,2150,22808,25384
1011,3530,1139,4701
1013,3716,4891,8685
1015,13197,32803,47376
1017,5763,7803,13778
1019,1524,8809,10503
1021,2909,15068,18255
1023,3109,4102,7268
1025,5712,7109,12936
1027,1234,5230,6572
1029,684,5738,6532
1031,4194,15825,20513
1033,7296,16718,24626
1035,3069,3413,6543
1037,1780,3376,5223
1039,2379,13222,15818
1041,1663,4511,6252
1043,3730,32734,37278
1045,4408,13798,18617
1047,12826,5784,18730
1049,3682,21779,26086
1051,8436,27619,36905
1053,4698,10282,15213
1055,10350,32132,43474
1057,1358,6705,8196
1059,2197,9466,11955
1061,1522,9967,11659
1063,4006,838,4862
1065,4772,3172,8010
1067,2286,5623,8017
1069,10547,30567,42030
1071,3663,16643,20785
1073,151581,130614,290111
1075,1035,5819,6931
1077,9877,27735,38813
1079,3611,10732,14623
1081,20987,34321,57668
1083,9340,28824,39400
1085,4882,1751,6676
1087,7237,1394,8748
1089,62435,89199,159473
1091,5607,5224,10948
1093,1432,11273,12912
1095,4913,29217,34965
1097,68429,91087,163387
1099,4310,5771,10185
1101,58669,33928,94572
1103,11216,37392,49991
1105,3823,1403,5255
1107,3972,5454,9494
1109,5039,7681,13025
1111,2290,7697,10130
1113,9577,9210,19136
1117,22927,72846,99208
1115,5550,31579,37937
1119,4739,1581,6391
1121,12108,20596,33218
1123,5271,12967,18504
1125,31746,47701,81708
1127,4486,24208,29243
1129,2366,6031,8492
1131,4329,1737,6095
1133,871,9225,10255
5001,1939,3825,6167
5003,2408,5338,8027
5005,4163,14655,19572
5007,27894,60751,94262
5009,2925,12225,15912
5011,1317,2163,3617
5013,636,1554,2250
5015,3334,6773,10656
5017,2350,1716,4149
5019,3606,4398,8365
5021,1999,3779,5978
5023,2101,9454,11968
5025,723,2460,3299
5027,3140,5456,8837
5029,2655,4844,7837
5031,10474,22798,34968
5033,4476,16655,22155
5035,8368,6953,15798
5037,1995,4577,6831
5039,1165,1507,2741
5041,2227,1915,4226
5043,2364,3967,6552
5045,14525,29170,46364
5047,1376,5034,6698
5049,1067,3470,4744
5051,12283,26053,40337
5053,1407,5160,6855
5055,3056,10698,14422
5057,2371,4391,6984
5059,3137,8153,11815
5061,1350,3155,4634
5063,2878,9925,13443
5065,1111,4042,5396
5067,1583,3262,5093
5069,15721,9231,25683
5071,2421,6072,8997
5073,1028,1750,2835
5075,1263,4064,5629
5077,1735,1229,3004
5079,1252,2455,3814
5081,1397,3604,5192
5083,1712,5737,7839
5085,5638,19902,26766
5087,1587,4917,6782
5089,1377,5077,6718
5091,4273,11293,16015
5093,5621,6988,12995
5095,1298,1400,2766
5097,735,2573,3445
5099,1156,2001,3233
5101,699,2875,3731
5103,4320,5347,9881
5105,1035,2979,4213
5107,4292,2443,6894
5109,684,3150,3956
5111,1878,3149,5283
5113,1210,6606,8121
5115,4818,15694,21545
5117,812,2503,3404
5119,89377,61182,157728
5121,1425,4508,6313
5125,13247,35852,51971
5127,507,2378,3017
5129,601,2955,3698
5131,12184,28769,43557
5133,1075,3281,4517
5135,1472,5405,7190
5123,4031,3195,7412
5137,1189,4081,5527
5139,5667,10201,16338
5141,1547,5382,7111
5143,32296,40418,78153
5145,5157,21038,27451
5147,1117,1344,2550
5149,1472,4600,6389
4001,12196,5315,18659
4003,15291,25036,43147
4005,25308,16573,44929
4007,6746,13672,21398
4009,3301,8025,11939
4011,1092,1892,3243
4012,1318,3381,4931
