Country,Europe_Ancestry_Count
Norway,3800000
Sweden,3400000
Finland,600000
Russia,2000000
Iceland,54000
United Kingdom,54000000
Ireland,34000000
Portugal,1300000
Spain,1000000
France,8000000
Belgium,340000
Netherlands,3000000
Germany,45000000
Italy,16000000
Switzerland,900000
Austria,650000
Denmark,1200000
Poland,9000000
Czechia,1200000
Slovakia,790000
Hungary,1300000
Slovenia,150000
Croatia,390000
Estonia,30000
Latvia,92000
Lithuania,600000
Belarus,62000
Ukraine,1100000
Cyprus,11000
Greece,1200000
Turkey,240000
Romania,450000
Albania,65000
North Macedonia,224000
Serbia,192000
Bosnia,125000
